State,Year,Rice,Wheat,Cereals,Pulses,Food-grains,Oilseeds,Cotton,Sugarcane,Raw Jute & Mesta
Andhra Pradesh,2022-23   ,8542.3,,2753.5,993.4,12289.2,616.1,1578.9,3121.5,11.3
Andhra Pradesh,2021-22   ,7763.6,,2258.4,1054.5,11076.5,548.9,1707.6,3645.4,11
Andhra Pradesh,2020-21   ,7882.9,,2321.6,1094.6,11299,804.6,1600.6,4138.6,10.4
Andhra Pradesh,2019-20   ,8658.9,,2531.2,1166.7,12356.8,901.2,2508,6724,21.3
Andhra Pradesh,2018-19   ,8234.7,,1864.5,739.6,10838.8,504.4,1491,8094.6,30.3
Andhra Pradesh,2017-18   ,8166.2,,2776.1,1217.4,12159.8,1096.7,2087,7789.6,47.2
Andhra Pradesh,2016-17   ,7452.4,,1982,931,10365.4,664.2,1564,7830,63
Andhra Pradesh,2015-16   ,7488.7,,1916,1229,10633.7,873,1888,9353,44
Andhra Pradesh,2014-15   ,7233.9,6,2310.2,950,10494.1,597.2,2841,13150,50
Andhra Pradesh,2013-14   ,6969.7,4,2486.8,1061.8,10522.3,1022.7,1411.1,15385,83
Andhra Pradesh,2012-13   ,6862.4,1,2433.6,1132.7,10429.8,928.3,2025.2,15567,127
Andhra Pradesh,2011-12   ,7746.2,11,2188.3,933.6,10868.1,723.8,4900,16686,202
Andhra Pradesh,2010-11   ,7882.4,1,2205,964.1,11052.5,1332.3,5300,14964,223
Andhra Pradesh,2009-10   ,10538,10,3318,1429,15295,1500,3227,11708,191.9
Andhra Pradesh,2008-09   ,14241,16,4716,1448,20421,2189.1,3569,15380,295
Andhra Pradesh,2007-08   ,13324,8,4274,1697,19303,3390,3491,20296,501
Andhra Pradesh,2006-07   ,11872,9,3001,1347,16229,1362,2181,21692,544
Andhra Pradesh,2005-06   ,11704,9,3862,1376,16951,2041,2108,17656,455
Andhra Pradesh,2004-05   ,9601,5,2771,1019,13396,2209.4,2190,15739,458
Andhra Pradesh,2003-04   ,8953,7,3498,1239,13697,1614.1,1890,15070,470
Andhra Pradesh,2002-03   ,7327,14,2251,1061.6,10653.6,1256.3,1085.7,15387.2,613
Andhra Pradesh,2001-02   ,11389.8,9,2299,1137.7,14835.5,1614,1877,18082,671.5
Andhra Pradesh,2000-01   ,12458,8,2509,1054.2,16029.2,2510.9,1662.7,17690.1,687
Andhra Pradesh,1999-00   ,10637.8,9,2249.2,800.2,13696.2,1382.7,1595,18508,623.2
Andhra Pradesh,1998-99   ,11878,6,2194,827,14905,2465.8,1522,16503.3,542
Andhra Pradesh,1997-98   ,8510,6,1790.6,606.9,10913.5,1424.1,1320.4,13955,562
Andhra Pradesh,1996-97   ,10686,9,2142.2,838,13675.2,2396.2,1878.4,15030,699
Andhra Pradesh,1995-96   ,9014.2,7.8,1873.4,1358.3,12253.7,3039.9,1610.1,15179.5,630.3
Andhra Pradesh,1994-95   ,9276.7,8.4,1826,1101.5,12212.6,2110.1,1425.6,16046,629.5
Andhra Pradesh,1993-94   ,9562,5.9,2008.6,1175.7,12752.2,2899.6,1349.2,13474.2,491.5
Andhra Pradesh,1992-93   ,8792.2,7.6,2118.8,1364.2,12282.8,2312.7,1147.3,12163.2,491.4
Andhra Pradesh,1991-92   ,9249.4,6.8,1657.4,1405.7,12319.3,2490,1290.5,15056.7,664.5
Andhra Pradesh,1990-91   ,9654,9,1971.1,1248.8,12882.9,2542.3,1110.1,12667.3,655.9
Andhra Pradesh,1989-90   ,9959.1,8.5,2122.2,1240.8,13330.6,2266,931.3,11134,586.5
Andhra Pradesh,1988-89   ,10621.1,9.5,1577.1,1279.9,13487.6,2310.4,565.6,10766.6,496.7
Andhra Pradesh,1987-88   ,7087.1,4.9,2150.7,1239.3,10482,2085.9,536.8,9490.2,287.5
Andhra Pradesh,1986-87   ,6591.5,4.8,1949.9,1132.4,9678.6,1436.3,609.3,8807.6,541.2
Andhra Pradesh,1985-86   ,7613.5,7.4,2123.9,629,10373.8,1439.4,743.1,9674.6,737.4
Andhra Pradesh,1984-85   ,6909.1,7.9,2196.3,501.8,9615.1,1367.9,984.4,9791.1,490
Andhra Pradesh,1983-84   ,8790.7,14,2510.5,566.1,11881.3,1839,1018.7,9742.9,582.2
Andhra Pradesh,1982-83   ,7671.3,13,2902.8,585.2,11172.3,1255.7,624,12606.3,512.9
Andhra Pradesh,1981-82   ,7867.9,11.5,3067.1,466.6,11413.1,1547,663.4,14961.5,750
Andhra Pradesh,1980-81   ,7011.4,5.9,2559.9,414.5,9991.7,928.1,750,10053.9,676.3
Arunachal Pradesh,2021-22   ,252.4,7.9,113.4,14.5,388.2,37.8,,46.3,
Arunachal Pradesh,2020-21   ,247.1,7.7,107.9,14.3,377.1,37.3,,46.4,
Arunachal Pradesh,2019-20   ,244.7,6.7,107.6,14.2,373.2,37.1,,39.2,
Arunachal Pradesh,2018-19   ,240,7.7,105.4,12,365.2,37,,45.8,
Arunachal Pradesh,2017-18   ,233.3,7.7,104.5,13.5,359.1,37,,38.4,
Arunachal Pradesh,2016-17   ,220,7.7,102.5,13.1,343.3,36.6,,37.7,
Arunachal Pradesh,2015-16   ,204,7.7,102.8,13,327.5,36.4,,40.8,
Arunachal Pradesh,2014-15   ,285,7.5,102,14.5,409,33.9,,29.7,
Arunachal Pradesh,2013-14   ,276.2,4.5,92.8,11.2,384.6,31.4,,30.4,
Arunachal Pradesh,2012-13   ,263,4.4,91.6,10.6,369.6,30.8,,30.2,
Arunachal Pradesh,2011-12   ,255,6.5,90.5,10.5,362.5,33,,30,
Arunachal Pradesh,2010-11   ,234,5.9,84.7,9.1,333.7,29.1,,29,
Arunachal Pradesh,2009-10   ,215.8,4.8,78.6,9.7,308.9,28.3,,27.1,
Arunachal Pradesh,2008-09   ,163.9,5.2,77.7,9,255.8,30.5,,23.4,
Arunachal Pradesh,2007-08   ,158.1,5.3,76.8,8.3,248.5,25.6,,21.8,
Arunachal Pradesh,2006-07   ,146.2,6.3,84.9,8.3,245.7,22.7,,16.8,
Arunachal Pradesh,2005-06   ,146.2,6.1,80.3,8.3,240.9,22.7,,16.8,
Arunachal Pradesh,2004-05   ,135,8.7,76.4,6.8,226.9,27,,14.1,
Arunachal Pradesh,2003-04   ,154.6,6.3,75.8,7.4,244.1,27.3,,15.2,
Arunachal Pradesh,2002-03   ,152.5,6.3,75.8,7.7,242.3,28.2,,15.3,
Arunachal Pradesh,2001-02   ,134.6,5.3,70.4,7.1,217.4,28.2,,18.9,
Arunachal Pradesh,2000-01   ,132.7,6.2,69.6,6.8,215.3,25.6,,,
Arunachal Pradesh,1999-00   ,134.8,5.1,65.4,4.9,210.2,25.7,,,
Arunachal Pradesh,1998-99   ,114.1,4.4,62.6,6.8,187.9,23.9,,,
Arunachal Pradesh,1997-98   ,129.5,5.7,68,6.8,210,23,,,
Arunachal Pradesh,1996-97   ,129.4,6.1,64.3,6.7,206.5,22.9,,,
Arunachal Pradesh,1995-96   ,124.5,7.3,66,5.7,203.5,23.8,,,
Arunachal Pradesh,1994-95   ,105.8,7.6,74.2,5.6,193.2,23.5,,,
Arunachal Pradesh,1993-94   ,144,8.5,74.2,5.3,232,25.2,,,
Arunachal Pradesh,1992-93   ,116.9,6.4,65.8,5.3,194.4,23.8,,,
Arunachal Pradesh,1991-92   ,143.1,6.8,65.4,4.5,219.8,19.9,,,
Arunachal Pradesh,1990-91   ,142.5,6.7,65.1,4.2,218.5,19.8,,,
Arunachal Pradesh,1989-90   ,138.8,6.4,64.2,0,209.4,17.8,,,
Arunachal Pradesh,1988-89   ,135.8,4.5,57.1,0,197.4,15.4,,,
Arunachal Pradesh,1987-88   ,134,9,51,0,194,15.5,3.3,,
Arunachal Pradesh,1986-87   ,125.1,6.9,55,0,187,15.5,3.3,,
Arunachal Pradesh,1985-86   ,130,4.4,54.5,0,188.9,13.8,3.3,,
Arunachal Pradesh,1984-85   ,117.6,6.6,48.8,0,173,8.1,0.1,,
Arunachal Pradesh,1983-84   ,110.7,6.1,45.3,0,162.1,7.9,0.1,,
Arunachal Pradesh,1982-83   ,97.4,4.2,45.5,0,147.1,7.2,0.1,,
Arunachal Pradesh,1981-82   ,94.2,4,41.7,0,139.9,6.6,0.1,,
Arunachal Pradesh,1980-81   ,88.2,3.8,39,0,131,6.1,0.1,,
Assam,2022-23   ,4979.8,26,147.5,81.9,5235.1,198.2,0.4,1157.5,790
Assam,2021-22   ,4382.1,11.4,173.4,110.8,4677.7,200.5,0.4,1160,761.5
Assam,2020-21   ,5214.8,12.9,151.2,108.7,5487.5,199.9,0.4,1093.1,794.2
Assam,2019-20   ,4984.6,14.4,131.3,106.1,5236.4,192.4,,1218.1,811.7
Assam,2018-19   ,5220.6,23.7,108,113.5,5465.9,198.4,,1093.9,781.4
Assam,2017-18   ,5283.7,24.7,101.8,115.8,5525.9,200.6,,1143,861.5
Assam,2016-17   ,4727.4,23.5,94.1,107.5,4952.5,204.3,,1207.2,824.1
Assam,2015-16   ,5125.1,34.3,91.6,107.6,5358.6,215.2,,1038.3,894.1
Assam,2014-15   ,5222.7,28.8,96.4,111,5458.8,205.7,,1099.1,793.2
Assam,2013-14   ,4927.1,40.4,25,104.3,5096.8,186.3,,1075.2,746.6
Assam,2012-13   ,5128.5,44.2,23.5,84.4,5280.6,186.8,,1028.2,583.1
Assam,2011-12   ,4516.3,60.3,18.2,68.6,4663.3,149.5,,993.5,638.8
Assam,2010-11   ,4736.6,52.8,17,70.1,4876.5,153.6,,1075,650.7
Assam,2009-10   ,4335.9,63.5,17.2,64.6,4481.2,144.7,0.8,1059,735.5
Assam,2008-09   ,4008.5,54.6,15.4,64.5,4143,137.9,0.6,1099.7,674.3
Assam,2007-08   ,3319,71,17,63,3470,139,0.6,980,683.7
Assam,2006-07   ,2916,67,18,59,3060,134,0.6,1055,583.3
Assam,2005-06   ,3552.5,53.7,17.6,54,3677.8,113.2,0.6,871.2,603.6
Assam,2004-05   ,3470.7,68.1,18,61.4,3618.2,146.8,1,883.9,435.8
Assam,2003-04   ,3880,73,18,64,4035,157,1,981,692
Assam,2002-03   ,3738,78,18,60,3894,149,1,916,716
Assam,2001-02   ,3854,85.3,18,65.7,4023,156,1,1011.4,699
Assam,2000-01   ,3998.5,85.7,20,62.3,4166.5,160,0.8,988,692.7
Assam,1999-00   ,3861,98,19,64,4042,147.6,1,1155,684
Assam,1998-99   ,3254.8,90.5,19.5,69.2,3434,154.2,0.8,1223.6,712.8
Assam,1997-98   ,3382.9,110.1,20.1,64.5,3577.6,173.9,0.8,1287.6,933.1
Assam,1996-97   ,3328.2,117.1,18.4,68.4,3532.1,159.5,0.8,1490.3,829.8
Assam,1995-96   ,3390,95.1,19,102.5,3606.6,155.7,0.8,1490.3,870.8
